run_path,optimizer,step,parameter_name,tensor_type,parameter_shape,parameter_numel,state_family,state_component,state_numel,zero_fraction,log2_median,log2_p5,log2_p95,log2_p99,log2_min,log2_max,block_logrange_median,block_logrange_p95,block_logrange_max,n_valid_blocks,n_total_blocks,source_file
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,100,model.embed_tokens.weight,emb,32000x2048,65536000,second_moment,row,32000,0.0,-99.65784454345703,-99.65784454345703,-18.916086196899414,-16.39791488647461,-99.65784454345703,-7.13732385635376,85.43659210205078,90.45457458496094,92.52052307128906,16,16,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_100.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,100,model.embed_tokens.weight,emb,32000x2048,65536000,second_moment,col,2048,0.0,-19.69122314453125,-19.94088363647461,-19.378198623657227,-19.20501136779785,-20.202817916870117,-18.929885864257812,1.2729320526123047,1.2729320526123047,1.2729320526123047,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_100.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,100,model.layers.0.self_attn.q_proj.weight,attn,2048x2048,4194304,second_moment,row,2048,0.0,-18.619831085205078,-19.086212158203125,-18.020763397216797,-17.69553565979004,-19.26817512512207,-17.351194381713867,1.9169807434082031,1.9169807434082031,1.9169807434082031,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_100.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,100,model.layers.0.self_attn.q_proj.weight,attn,2048x2048,4194304,second_moment,col,2048,0.0,-18.581226348876953,-18.8459415435791,-18.25263023376465,-18.120378494262695,-19.048070907592773,-17.998809814453125,1.0492610931396484,1.0492610931396484,1.0492610931396484,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_100.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,100,model.layers.0.self_attn.k_proj.weight,attn,256x2048,524288,second_moment,row,256,0.0,-15.493569374084473,-15.923887252807617,-15.219862937927246,-15.177740097045898,-16.01875877380371,-15.089316368103027,0.9294424057006836,0.9294424057006836,0.9294424057006836,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_100.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,100,model.layers.0.self_attn.k_proj.weight,attn,256x2048,524288,second_moment,col,2048,0.0,-15.573827743530273,-15.876330375671387,-15.156149864196777,-15.005663871765137,-16.189672470092773,-14.593005180358887,1.5966672897338867,1.5966672897338867,1.5966672897338867,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_100.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,100,model.layers.0.self_attn.v_proj.weight,attn,256x2048,524288,second_moment,row,256,0.0,-13.18319034576416,-13.49043083190918,-12.839315414428711,-12.697396278381348,-13.628406524658203,-12.528183937072754,1.1002225875854492,1.1002225875854492,1.1002225875854492,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_100.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,100,model.layers.0.self_attn.v_proj.weight,attn,256x2048,524288,second_moment,col,2048,0.0,-13.362640380859375,-13.949914932250977,-12.27629566192627,-11.663156509399414,-14.465669631958008,-11.19363021850586,3.2720394134521484,3.2720394134521484,3.2720394134521484,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_100.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,100,model.layers.0.self_attn.o_proj.weight,attn,2048x2048,4194304,second_moment,row,2048,0.0,-16.246192932128906,-16.51315689086914,-15.904609680175781,-15.723363876342773,-16.751888275146484,-15.156505584716797,1.5953826904296875,1.5953826904296875,1.5953826904296875,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_100.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,100,model.layers.0.self_attn.o_proj.weight,attn,2048x2048,4194304,second_moment,col,2048,0.0,-16.41910743713379,-16.97671890258789,-15.32041072845459,-14.794282913208008,-17.52102279663086,-14.21522331237793,3.3057994842529297,3.3057994842529297,3.3057994842529297,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_100.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,100,model.layers.0.mlp.gate_proj.weight,mlp,5632x2048,11534336,second_moment,row,5632,0.0,-19.156574249267578,-20.464006423950195,-17.85794448852539,-17.2137393951416,-22.30514144897461,-15.461763381958008,6.040334701538086,6.6278886795043945,6.693172454833984,3,3,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_100.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,100,model.layers.0.mlp.gate_proj.weight,mlp,5632x2048,11534336,second_moment,col,2048,0.0,-19.098445892333984,-19.642066955566406,-18.176965713500977,-17.693044662475586,-19.942712783813477,-17.18598175048828,2.7567310333251953,2.7567310333251953,2.7567310333251953,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_100.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,100,model.layers.0.mlp.up_proj.weight,mlp,5632x2048,11534336,second_moment,row,5632,0.0,-19.336284637451172,-20.796220779418945,-17.498971939086914,-16.841466903686523,-21.382368087768555,-15.149272918701172,5.551810264587402,6.113921642303467,6.17637825012207,3,3,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_100.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,100,model.layers.0.mlp.up_proj.weight,mlp,5632x2048,11534336,second_moment,col,2048,0.0,-19.05569076538086,-19.609973907470703,-18.097326278686523,-17.58861541748047,-19.925891876220703,-17.08329200744629,2.842599868774414,2.842599868774414,2.842599868774414,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_100.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,100,model.layers.0.mlp.down_proj.weight,mlp,2048x5632,11534336,second_moment,row,2048,0.0,-18.921449661254883,-19.160564422607422,-18.579864501953125,-18.403411865234375,-19.391216278076172,-18.04306983947754,1.3481464385986328,1.3481464385986328,1.3481464385986328,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_100.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,100,model.layers.0.mlp.down_proj.weight,mlp,2048x5632,11534336,second_moment,col,5632,0.0,-19.430728912353516,-20.943546295166016,-17.41874885559082,-16.550886154174805,-21.857282638549805,-14.318187713623047,7.110691070556641,7.4962544441223145,7.539094924926758,3,3,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_100.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,100,model.layers.0.input_layernorm.weight,norm,2048,2048,second_moment,full,2048,0.0,-16.148530960083008,-16.835771560668945,-15.138982772827148,-14.606773376464844,-17.47235679626465,-13.318198204040527,4.154158592224121,4.154158592224121,4.154158592224121,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_100.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,100,model.layers.0.post_attention_layernorm.weight,norm,2048,2048,second_moment,full,2048,0.0,-16.911378860473633,-17.66313934326172,-15.826263427734375,-15.315159797668457,-18.423294067382812,-14.56855297088623,3.854741096496582,3.854741096496582,3.854741096496582,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_100.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,100,model.layers.1.self_attn.q_proj.weight,attn,2048x2048,4194304,second_moment,row,2048,0.0,-23.641773223876953,-24.105825424194336,-22.631200790405273,-22.04619789123535,-24.536766052246094,-20.636432647705078,3.9003334045410156,3.9003334045410156,3.9003334045410156,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_100.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,100,model.layers.1.self_attn.q_proj.weight,attn,2048x2048,4194304,second_moment,col,2048,0.0,-23.531450271606445,-23.827293395996094,-22.96211051940918,-22.587467193603516,-24.028230667114258,-21.940631866455078,2.0875988006591797,2.0875988006591797,2.0875988006591797,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_100.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,100,model.layers.1.self_attn.k_proj.weight,attn,256x2048,524288,second_moment,row,256,0.0,-20.526674270629883,-20.821651458740234,-20.0769100189209,-19.834609985351562,-20.95937728881836,-19.35599708557129,1.6033802032470703,1.6033802032470703,1.6033802032470703,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_100.pt
